cid,dayhours,price,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,basement,yr_built,yr_renovated,zipcode,lat,long,living_measure15,lot_measure15,furnished,total_area
2597530760,20140623T000000,905000,5.0,3.5,3500.0,10155.0,2,0,0.0,3,10.0,2570.0,930.0,1996,0,98006,47.5415,-122.133,2940.0,10753.0,1.0,13655
7215730730,20150128T000000,515000,4.0,2.5,1800.0,4338.0,2,0,0.0,3,8.0,1800.0,0.0,2001,0,98075,47.5962,-122.015,1800.0,4507.0,0.0,6138
6646200090,20140819T000000,650000,4.0,3.5,3270.0,15704.0,2,0,0.0,3,9.0,2110.0,1160.0,1990,0,98074,47.6256,-122.042,3020.0,8582.0,1.0,18974
7116000425,20141125T000000,150000,2.0,1.0,720.0,4120.0,1,0,0.0,5,5.0,720.0,0.0,1915,0,98002,47.303,-122.217,940.0,6180.0,0.0,4840
7614100020,20141017T000000,265000,3.0,2.5,1340.0,10290.0,1,0,0.0,4,7.0,1140.0,200.0,1981,0,98042,47.3553,-122.149,1760.0,7903.0,0.0,11630
3438501583,20140911T000000,452000,3.0,2.75,2300.0,5090.0,2,0,0.0,3,8.0,1700.0,600.0,2007,0,98106,47.545,-122.36,1530.0,9100.0,0.0,7390
2126049096,20141202T000000,399000,3.0,1.0,1460.0,8290.0,1,0,0.0,3,8.0,1460.0,0.0,1959,0,98125,47.7246,-122.3,1470.0,8290.0,0.0,9750
8682281080,20140617T000000,738500,3.0,2.5,2300.0,6009.0,1,0,0.0,3,8.0,2300.0,0.0,2005,0,98053,47.7067,-122.013,1640.0,5931.0,0.0,8309
3999200780,20141121T000000,628000,5.0,2.75,2830.0,11795.0,1,0,0.0,4,7.0,1710.0,1120.0,1960,0,98008,47.5828,-122.118,2460.0,10880.0,0.0,14625
4273000095,20150511T000000,340000,4.0,1.75,1400.0,8374.0,1,0,0.0,3,7.0,1400.0,0.0,1953,0,98166,47.4735,-122.344,1420.0,8360.0,0.0,9774
2025079037,20141001T000000,510000,3.0,2.25,2750.0,219542.0,2,0,0.0,3,7.0,1870.0,880.0,1981,0,98014,47.6367,-121.948,2430.0,219542.0,0.0,222292
7657000225,20140719T000000,205000,3.0,1.0,860.0,7467.0,1,0,0.0,3,6.0,860.0,0.0,1944,0,98178,47.4947,-122.237,1280.0,7467.0,0.0,8327
1937300280,20141030T000000,404500,2.0,1.0,1270.0,3700.0,1.5,0,0.0,3,7.0,1270.0,0.0,1909,0,98144,47.5949,-122.307,1980.0,3200.0,0.0,4970
9558050020,20140915T000000,475000,4.0,2.5,3150.0,5757.0,2,0,0.0,3,9.0,3150.0,0.0,2004,0,98058,47.4568,-122.117,3100.0,5757.0,1.0,8907
